country,description,designation,points,price,province,region,title,variety,winery
Spain,"Welcoming aromas of wood spice, plum and blackberry become more smoky with airing. This strong-boned RDD is pure and deep, with manageable tannins. Generous flavors of spiced blackberry, tobacco and vanilla finish long, elegant and with a lot in reserve. Drink from 2017 through 2030.",Gran Resalte,93,88.0,Northern Spain,Ribera del Duero,Resalte 2010 Gran Resalte  (Ribera del Duero),Tempranillo,Resalte
Spain,"Bright red-fruit aromas are matched by dry spice and leathery scents. The feel on this blend of Tempranillo, Cabernet Sauvignon and Merlot is juicy and clampy, while flavors of red cherry, plum and currant come with a vanilla shading. This finishes crisp, with punchy acidity.",Reserva 1423,87,35.0,Northern Spain,Navarra,Príncipe de Viana 2008 Reserva 1423 Red (Navarra),Red Blend,Príncipe de Viana
Spain,"Aromas of wood grain, vanilla, butter and fino Sherry are elegant and attractive for this style of white Rioja. On the palate, this oak-aged Viura is smooth, while creamy flavors of oak, apricot and peach excel. A smooth finish with plenty of vanilla and core acidity indicates this will age well for another 10 years.",Capellanía,92,28.0,Northern Spain,Rioja,Marqués de Murrieta 2010 Capellanía Viura (Rioja),Viura,Marqués de Murrieta
Spain,"Plum, prune and raspberry aromas are solid. This shows a bright, juicy palate along with traditional Rioja flavors of vanilla, tobacco, savory oak and dried red-berry fruits. Drink through 2018.",Selección Crianza,90,25.0,Northern Spain,Rioja,Bodegas Berceo 2011 Selección Crianza  (Rioja),Tempranillo Blend,Bodegas Berceo
Spain,"Pulpy and also minerally on the nose, with basic white fruit aromas. Zesty, crisp and defined by slate and lime in the mouth, with apple, lime and dryness to the flavor profile. A composed little white wine for simple sipping or white sangria.",,87,10.0,Northern Spain,Rioja,El Coto 2010 Viura (Rioja),Viura,El Coto
Spain,"Round and good by Rueda standards, with melon and peach aromas but not too much citrus. The palate is full and chunky, with papaya, melon and a touch of pithy bitterness. More regular than special, but good and goes down easy before finishing dry.",Solo,87,14.0,Northern Spain,Rueda,Oro de Castilla 2010 Solo Verdejo (Rueda),Verdejo,Oro de Castilla
Spain,"White fruits, flower blossom and a touch of brine work the nose, which is followed by flush, semisweet apple, gooseberry and lime flavors. More sweet than outright tangy, but still citrusy and zesty. Holds form on the crisp finish. 60% Verdejo and 40% Viura.",Ipsum,87,10.0,Northern Spain,Rueda,Pablo del Villar 2010 Ipsum Verdejo-Viura (Rueda),Verdejo-Viura,Pablo del Villar
Spain,"Aromas of red licorice candy and raspberry are fruity, forward and clean. The palate is more than competent and balanced, with creamy strawberry and raspberry flavors. The finish is short but easy, and for the price that's all you can ask for.",,87,9.0,Northern Spain,Cariñena,Manyana 2008 Tempranillo (Cariñena),Tempranillo,Manyana
Spain,"Mild raisin, black cherry, anise and burnt tire aromas lead to a plump, balanced palate that's full but not overloaded. Earthy baked black-fruit flavors show a hint of oaky coconut, while this Tempranillo finishes with depth and density.",Parcela 23,90,20.0,Central Spain,Vino de la Tierra de Castilla,Finca Constancia 2011 Parcela 23 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Finca Constancia
Spain,"Cherry and cassis aromas are a touch flat and jammy. This shows grabby tannins as well as loamy, earthy, lightly bitter flavors of black fruits. The finish lumbers along with size and tannic grip, but overall this blend of 65% Tempranillo, 25% Graciano and 10% Garnacha shows well.",Made With Organic Grapes,86,12.0,Northern Spain,Rioja,Navardia 2013 Made With Organic Grapes  (Rioja),Tempranillo Blend,Navardia
Spain,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",Brut,86,15.0,Catalonia,Cava,Pata Negra NV Brut Sparkling (Cava),Sparkling Blend,Pata Negra
Spain,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",Cinta Púrpura Brut Reserva,86,13.0,Catalonia,Cava,Juvé y Camps NV Cinta Púrpura Brut Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps
Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",Sweet Reserva,86,15.0,Catalonia,Cava,Juvé y Camps NV Sweet Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps
Spain,"Ripe and sweet, with lush, raisiny aromas. The palate is flush, deep and layered, with baked berry, prune, toast and coffee flavors. This is a lot like Vall Llach's signature '07, but it's a bit more restrained and at $50 it's a better deal than the $95 wine. Still, it's a heavyweight to drink now through 2013.",Idus,90,50.0,Catalonia,Priorat,Vall Llach 2007 Idus Red (Priorat),Red Blend,Vall Llach
Spain,"Ripe black fruit aromas aren't overly complex or nuanced but they are generous. Feels tight, gritty and healthy, with firm tannins in front of black cherry and blackberry flavors. Mellows on the finish, where plum and prune flavors take over. Not a hard, fierce Priorat; drink now through 2014.",Coraje,90,44.0,Catalonia,Priorat,Fuentes 2008 Coraje Red (Priorat),Red Blend,Fuentes
Spain,"It has taken a few years but Morlanda has reached a nice place with this wine. Look for ripeness and concentrated black fruit aromas, and then a ripe palate with herbal blackberry and chocolate. Smooth on the finish, with a tiny bit of burn. Drink now through 2014.",Criança,90,48.0,Catalonia,Priorat,Morlanda 2007 Criança Red (Priorat),Red Blend,Morlanda
Spain,"Earthy, cool aromas of wet cement, raisin and raspberry are a bit flat. This feels drawing and tannic, with flavors of tomato, red plum, currant and raspberry. A full-size finish is comfortable but not very complex.",II Crianza,87,15.0,Northern Spain,Rioja,Covila 2013 II Crianza  (Rioja),Tempranillo,Covila
Spain,"Cool aromas of cola, leather and black cherry set up a fairly full but fresh palate with moderate creamy weight. This tastes reedy and spicy, with wild-berry fruit, peppery notes and a distinct flavor of creamy oak. On the finish, this is oaky and herbal tasting.",Goru Verde,87,15.0,Levante,Jumilla,Ego Bodegas 2014 Goru Verde Monastrell (Jumilla),Monastrell,Ego Bodegas
Spain,"Slightly gritty aromas are just barely ripe enough. This feels tight, acidic and like tomato juice. Flavors of salty berry fruits, tomato, oak and vanilla are modest but complete. Given how cool 2013 was in Rioja, this is quite good.",Crianza,87,18.0,Northern Spain,Rioja,Finca del Marquesado 2013 Crianza  (Rioja),Tempranillo Blend,Finca del Marquesado
Spain,"Crisp plum and red-bell-pepper aromas lead to a healthy, mostly fresh palate with some weight to it. A mix of citrus and red-plum flavors ends long, without much, if any, unwanted pithiness or bitterness.",Wine Wings Garnacha,87,18.0,Northern Spain,Cariñena,Ignacio Marín 2015 Wine Wings Garnacha Rosé (Cariñena),Rosé,Ignacio Marín
Spain,"Leathery cherry and cassis aromas are softened up by baking spice accents. In the mouth, this is hard-edged and pointed, with sharp, lemony acidity. Flavors of spiced plum and pie cherry finish with jagged acids and heat. This is a real enamel-peeler; more time in bottle can only help.",Crianza,88,28.0,Northern Spain,Ribera del Duero,Linaje Garsea 2010 Crianza  (Ribera del Duero),Tempranillo,Linaje Garsea
Spain,"Varietally correct aromas of peach and melon form a good opening to this mostly fresh but fading Albariño. Flavors of melon, papaya and peach are typical for the grape, and the finish is holding on but showing signs of maturation. Drink immediately.",,87,15.0,Galicia,Rías Baixas,Pazo Torrado 2013 Albariño (Rías Baixas),Albariño,Pazo Torrado
Spain,"A pretty decent Rioja for the vintage, but you're going to have to be ready for some rubbery aromas and then staunch red fruit with a little bite. It's quite the traditional wine, with lemon peel, leather and tobacco. Runs short on the finish.",Crianza,85,15.0,Northern Spain,Rioja,Rentas de Fincas 2003 Crianza  (Rioja),Red Blend,Rentas de Fincas
Spain,"Quite leesy and funky, with meaty, oily aromas that are a departure from normal Albariño and are indicative of the 30% Treixadura and Loureiro that beef things up. Perfectly drinkable, and with a decent mouthfeel, but still it lacks the straightforward cleanliness of the really good wines from Galicia. Imported by Republic National Distributing Co.",Señor da Folla Verde,85,25.0,Galicia,Rías Baixas,Marqués de Vizhoja 2007 Señor da Folla Verde White (Rías Baixas),White Blend,Marqués de Vizhoja
Spain,"With tobacco, molasses, spearmint and baked fruit aromas, this finds itself squarely in the old school forum. The palate shows straight-ahead red fruit with light herbal and pepper accents. Snappy and a bit thin, but it offers all the basics.",Reserva,85,30.0,Northern Spain,Rioja,Finca La Emperatriz 2000 Reserva  (Rioja),Tempranillo Blend,Finca La Emperatriz
Spain,"With a black color and deep, resiny aromas of licorice, baking spices and black fruits, this is a big, Tempranillo with plenty of size and tannic bite. Flavors of earthy, oaky, loamy plum and blackberry finish with licorice, spice and baked notes. Drink through 2018.",Antiguos Viñedos,90,60.0,Northern Spain,Ribera del Duero,Casajús 2011 Antiguos Viñedos  (Ribera del Duero),Tempranillo,Casajús
Spain,"The nose falls somewhere between smoky and gritty, while dusty white-fruit scents prop things up. Peachy acidity and citric tang let you know this is a “nature” Cava, while nectarine, rhubarb and green-herb flavors finish razor crisp and dry.",Reserva Brut Nature,90,25.0,Catalonia,Cava,Castellroig 2010 Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Castellroig
Spain,"This 2008 holdover shows a mix of jammy, composed berry aromas as well as staunch notes of dried cheese and leather. The palate is firm at first, then more loamy and layered. On the flavor profile, baked berry blends with brine and cardamom, while on the finish this ready-to-drink RDD delivers licorice and earthy baked notes.",Reserva,90,27.0,Northern Spain,Ribera del Duero,Condado de Oriza 2008 Reserva  (Ribera del Duero),Tempranillo,Condado de Oriza
Spain,"Cameron Hughes bottles dozens of wines from California growers, and now he's expanded to include Rioja and Campo de Borja in Spain along with South Africa. This wine is made in the full-throttled, modern style. There's copious oak, toast and darkness on the bouquet, and then full-bodied black plum, raspberry and spice flavors. Quite a bulky, oaky style, but also one endowed with chocolate, nuttiness and depth.",Lot 93,88,21.0,Northern Spain,Rioja,Cameron Hughes 2004 Lot 93  (Rioja),Tempranillo,Cameron Hughes
Spain,"Opens with peachy, citric and saline aromas. Feels moderately fresh, but seems as though it's starting to mature as it's fleshy and pithy. Flavors of nectarine, orange and bitter pith are good but lack that ethereal quality that can make Albariño special. Drink now.",,85,30.0,Galicia,Rías Baixas,Lusco 2010 Albariño (Rías Baixas),Albariño,Lusco
Spain,"On the plus side, the wine is exotic and different, with blueberry, herbal notes, juniper and roasted aromas. But in the mouth, it's lean to the point of being thin, with sharp acidity and tight red plum, pie cherry and herbal flavors. Short on the finish, with tang and scour.",Miros de Ribera Crianza,84,27.0,Northern Spain,Ribera del Duero,Bodegas Peñafiel 2006 Miros de Ribera Crianza  (Ribera del Duero),Tempranillo,Bodegas Peñafiel
Spain,"Rubbery berry and plum aromas come with a note of latex. In the mouth, this is juicy, bright and focused, with good raspberry and plum fruit. Textural balance is an attribute, while the finish is round, lively and full of tasty berry flavors. Drink through 2018.",Serras del Priorat,89,30.0,Catalonia,Priorat,Clos Figueras 2013 Serras del Priorat Red (Priorat),Red Blend,Clos Figueras
Spain,"This blends intensity and nutty richness on the nose, backed up by a full, balanced palate. Flavors of dark caramel, toffee and chocolate end with the distinct flavor of café mocha and a lasting streak of caramel.",Cream,89,18.0,Andalucia,Jerez,Osborne NV Cream Sherry (Jerez),Sherry,Osborne
Spain,"Briny cidery aromas are fortunately not that loud or intense. This is wide and generous on the palate, with dry briny stone-fruit and apple flavors. A sense of dryness and pickle brine is amplified on a purposeful finish.",Privat Gran Reserva Brut Nature,90,36.0,Catalonia,Cava,Alta Alella 2013 Privat Gran Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Alta Alella
Spain,Waxy lightly toasted aromas of yellow apple are more subtle than popping. This barrel-fermented wine offers good weight and balance along with quiet flavors of spiced apple and vanilla. A sophisticated clean finish is lightly oaked in flavor and smooth in feel.,Blanco Fermentado en Barrica,90,33.0,Northern Spain,Rioja,Baigorri 2015 Blanco Fermentado en Barrica Viura (Rioja),Viura,Baigorri
Spain,"This Navarran Garnacha is more interesting, offering lemony, floral aromas that are red in nature and not very stout. The palate sizzles with racy acidity, while the flavor profile is pure and tangy, with cranberry and red plum notes. A zesty style of Grenache.",Santa Cruz de Artazu,86,47.0,Northern Spain,Navarra,Bodegas Artazu 2008 Santa Cruz de Artazu Garnacha (Navarra),Garnacha,Bodegas Artazu
Spain,"This Rioja opens with a jumpy, lively, candied red-fruit aroma. It feels solid, rubbery and stout, with dark fruit flavors that are accented by mild resin and butter notes. Feels a little sticky on the finish, with firm tannins.",Tinto,86,10.0,Northern Spain,Rioja,Burgo Viejo 2011 Tinto  (Rioja),Tempranillo Blend,Burgo Viejo
Spain,"Cherry and blackberry aromas come with spice and cool note of cola in this Monatrell-Syrah blend. It's narrow and tannic, with black fruit and desert herb flavors that finish dry and rubbery.",Luzón,86,9.0,Levante,Jumilla,Bodegas Luzón 2014 Luzón Red (Jumilla),Red Blend,Bodegas Luzón
Spain,"This tiny production SB is sweet and easygoing, with canned peach aromas along with pineapple and mild citrus flavors. Roundness and a smooth feel work in the wine's favor, because there's just enough acidity to push the length on the finish. Drink right away.",Doña Beatriz,86,12.0,Northern Spain,Rueda,Bodegas Cerrosol 2006 Doña Beatriz Sauvignon (Rueda),Sauvignon,Bodegas Cerrosol
Spain,"Starts out sharp and funky, and then quickly you realize that it's showing signs of age. The wine blends sweet and sour notes on both the bouquet and palate, issuing primary grapefruit flavors and some mustard greens on the finish. But the feel is chunky and it's losing its zest day by the day.",,86,15.0,Northern Spain,Rueda,Vega de la Reina 2006 Verdejo (Rueda),Verdejo,Vega de la Reina
Spain,"While we'd suggest waiting for the 2007 to hit the market, this softer-styled wine is showing mature melon, tropical fruit and bee's wax aromas in front of mild citrus, lemon and pineapple flavors. It has a medium-weight body and almost a honeyed roundness. Drink now.",,85,10.0,Northern Spain,Rueda,Analivia 2006 Verdejo (Rueda),Verdejo,Analivia
Spain,"Clean, wet, a bit sweet and rather formulaic, this Verdejo has a soft, chummy personality and seemingly more than a dash of residual sugar. Still, it manages to push tasty apple cider, papaya and other fuller-bodied, less acidic flavors.",,85,10.0,Central Spain,Vino de la Tierra de Castilla,Tapeña 2006 Verdejo (Vino de la Tierra de Castilla),Verdejo,Tapeña
Spain,"The winery has dialed back the time in oak for its barrel-fermented Viura to two months from five or six, and it's a decidedly less oaky wine than in years prior. Now it shows a controlled lees character along with lemon and apple flavors. Limited in what it offers, but made well.",Blanco Fermentado en Barrica,85,8.0,Northern Spain,Rioja,Marqués de Cáceres 2006 Blanco Fermentado en Barrica White (Rioja),White Blend,Marqués de Cáceres
Spain,"For classic Rioja, Monte Real is always a good bet. This offering delivers textbook aromas of dried raspberry and cherry offset by fallen leaves and a pinch of seashell. The palate is still quite fresh, while black cherry, raisin, spice and cocoa flavors finish smooth and long, with a touch of oxidation and a Sherry note for added complexity. Drink through 2022.",Monte Real Gran Reserva,92,47.0,Northern Spain,Rioja,Bodegas Riojanas 2006 Monte Real Gran Reserva  (Rioja),Tempranillo,Bodegas Riojanas
Spain,"From the beginning, this crianza from a very good vintage is lacking. The nose is mulchy and cheesy, with almost no fruit character. The palate is edgy in feel, while leafy, stalky red-fruit flavors are salty and taste of vanilla and caramel.",Crianza,84,25.0,Northern Spain,Rioja,Finca La Pica 2011 Crianza  (Rioja),Tempranillo Blend,Finca La Pica
Spain,"Aromas of rhubarb, herbs and strawberry mark the nose. This feels solid and mostly fresh, while flavors of pickled rhubarb and briny plum come with sugary sweetness in front of a salty finish.",Brut Rose,84,13.0,Catalonia,Cava,Conde de Subirats NV Brut Rose Sparkling (Cava),Sparkling Blend,Conde de Subirats
Spain,"Pickled, briny aromas of citrus and berry fruits are modest. On the palate, this is soft and low on acidity. Flavors of raspberry, cherry and red currant are mild, with a touch of bitterness.",Brut Rose,84,14.0,Catalonia,Cava,Biutiful NV Brut Rose Garnacha (Cava),Garnacha,Biutiful
Spain,"Jammy, ripe blueberry and blackberry aromas belie a crisp, tight palate, with wild berry, licorice and peppery flavors. This is fresh, wiry, firmly structured and alert as well as comfortable and controlled. Think classic Priorat to drink through 2018.",Roureda Llicorella Gran Selecció Vitis 60,91,33.0,Catalonia,Priorat,Cellers Unió 2009 Roureda Llicorella Gran Selecció Vitis 60 Red (Priorat),Red Blend,Cellers Unió
Spain,"Cidery aromas are briny. This feels low on bubbles but propped up by citric acidity. Orange and lettuce flavors end in pedestrian fashion, with a note of green herbs. This Cava's moderate, straightforward personality is due to the fact that it's 100% Xarello.",Essential,85,15.0,Catalonia,Cava,Juvé y Camps 2013 Essential Xarel-lo (Cava),Xarel-lo,Juvé y Camps
Spain,"Stone-fruit aromas are the opening, and they're on the full, waxy, fleshy side. This weighs in with low acidity, and that results in broad flavors of papaya and green melon. A round finish, much like the nose, shows a fleshy component.",,85,16.0,Northern Spain,Rueda,Mantel Blanco 2014 Verdejo (Rueda),Verdejo,Mantel Blanco
Spain,"Leesy vanilla aromas are scattershot and include bready notes of baked apple and pear. This feels round, plump and low on acidity. Flavors of grassy, green citrus and tropical fruits turn bitter before flattening out on a mild finish.",Brut,85,15.0,Catalonia,Cava,Tarantas 2014 Brut Sparkling (Cava),Sparkling Blend,Tarantas
Spain,"This Viura-Chardonnay blend smells odd, as if musky cologne was blended with body oil. The palate seems caught between heavy and racy, while flavors of candied white fruits, apple and pear come with residual sugar and a sketchy foundation.",Agostón,84,13.0,Northern Spain,Cariñena,Bodegas Paniza 2013 Agostón Viura-Chardonnay (Cariñena),Viura-Chardonnay,Bodegas Paniza
Spain,"Chunky, raisiny lead aromas come with more than enough vanilla, mocha and creamy oak backing. This has a lazy, baked, tannic feel and heavy flavors of candied blackberry and creamy oak. It smells and tastes forced.",Crianza,84,25.0,Northern Spain,Ribera del Duero,Viña Arnáiz 2010 Crianza  (Ribera del Duero),Tempranillo Blend,Viña Arnáiz
Spain,"Tired and oxidized on the nose, this offers just-adequate freshness on the palate, but the wine is losing steam. Flavors of oxidized white fruits and bitter citrus finish dully.",,83,20.0,Galicia,Rías Baixas,Bouza de Carril 2013 Albariño (Rías Baixas),Albariño,Bouza de Carril
Spain,"Gold in color, with a nutty, flabby nose. In the mouth, this is honeyed and mealy, while flavors of creamy oak, green herbs and stone fruits finish bland and soft.",Fermentado en Barrica,83,30.0,Northern Spain,Rueda,Eresma 2012 Fermentado en Barrica Verdejo (Rueda),Verdejo,Eresma
Spain,"Grassy, stalky plum aromas are decent but not overly fresh. Without a lot of shape or body, this modest Garnacha is herbaceous and limited in red-fruit flavors. The finish is gone in a flash.",Edicion Limitada,83,9.0,Central Spain,Vino de la Tierra de Castilla,Maximo 2012 Edicion Limitada Garnacha (Vino de la Tierra de Castilla),Garnacha,Maximo
Spain,"Prune and raisin aromas announce ripeness, which comes with woodsy, earthy, murky berry scents. This feels snappy at first, then more heavy and baked. Prune and spice cake flavors are clumsy, heavy and lack cohesion on the finish.",Paniza,83,15.0,Northern Spain,Cariñena,Alto Cinco 2012 Paniza Garnacha (Cariñena),Garnacha,Alto Cinco
Spain,"Berry and cherry aromas are surprisingly sturdy and clean. Freshness is maintained on the palate, which is honest enough to offer modest tannic bite. Lightly spiced plum and raspberry flavors change little on an easy finish.",Flirty Bird,85,4.0,Central Spain,Vino de la Tierra de Castilla,Felix Solis 2013 Flirty Bird Syrah (Vino de la Tierra de Castilla),Syrah,Felix Solis
Spain,"Gritty aromas of stewed berry, lemony oak, green herbs and tin set up a tannic, chewy, highly extracted palate that's lacking in elegance. Flavors of chocolate, green herbs, blueberry, vanilla and plastic finish oaky and creamy, with lasting heat.",,85,13.0,Levante,Jumilla,Marionette 2012 Monastrell-Syrah (Jumilla),Monastrell-Syrah,Marionette
Spain,"Dusty aromas of red cherry are muddled by oaky notes of plastic and latex. A jumpy, bright palate is rudimentary, as are lightly spiced plum and raspberry flavors. A fresh, dry, basic finish seems appropriate.",Oak Aged,84,10.0,Central Spain,Vino de la Tierra de Castilla,Mureda 2012 Oak Aged Syrah (Vino de la Tierra de Castilla),Syrah,Mureda
Spain,Melon and citrus aromas are yeasty and a bit sulfuric. This feels plump and juicy but not exact or well cut. Flavors of briny apple and nectarine turn bitter and salty on the finish.,El Gordo del Circo,84,17.0,Northern Spain,Rueda,Casa Rojo 2013 El Gordo del Circo Verdejo (Rueda),Verdejo,Casa Rojo
Spain,"Clover and apple aromas are basic but fresh. This is simple on the palate, with little to the mouthfeel. Vapid flavors of soda crackers, spent yeast and apple cider disappear on a quick finish.",Reserva Cuvée Barcelona 1872,85,,Catalonia,Cava,Codorníu NV Reserva Cuvée Barcelona 1872 Sparkling (Cava),Sparkling Blend,Codorníu
Spain,"Rubbery raspberry and plum aromas are decent. This feels crisp and abrasive on the surface, but sort of empty in the middle. Lean snappy plum and raspberry flavors end with scratchy tannins and a medicinal aftertaste.",Canchales Vino Joven,84,12.0,Northern Spain,Rioja,Bodegas Riojanas 2015 Canchales Vino Joven  (Rioja),Tempranillo,Bodegas Riojanas
Spain,"Candied berry aromas lack crispness. This feels hard, with little give and depth to the palate. Burnt toasted berry flavors are hot and fall off on a clumsy finish.",,84,12.0,Northern Spain,Rioja,Gorrebusto 2015  Rioja,Tempranillo,Gorrebusto
Spain,"This pink wine smells of red-apple skins. The palate is low on acidity but not entirely dull. Dry briny lightly bitter flavors don't show a lot of fruit, while this is pulpy on the finish.",Selección Tempranillo,84,8.0,Northern Spain,Rioja,Sonsierra 2015 Selección Tempranillo Rosé (Rioja),Rosé,Sonsierra
Spain,"Heavy oak aromas sit atop wiry plum and spice scents. This feels tannic and tough, with up-front oak and herbal berry flavors. A dry tannic, spicy finish features palpable oak that tastes forced and like plastic.",Made With Organic Grapes,84,11.0,Central Spain,Vino de la Tierra de Castilla,Venta Morales 2015 Made With Organic Grapes Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Venta Morales
Spain,"Prickly berry aromas include notes of both candied raspberry and cinnamon. This feels a bit clunky and sticky, with sugary berry flavors and a slightly cloying finish.",SPÑ,84,9.0,Central Spain,Vino de la Tierra de Castilla,Bodegas Isidro Milagro 2015 SPÑ Red (Vino de la Tierra de Castilla),Red Blend,Bodegas Isidro Milagro
Spain,"Dusty aromas of desert brush, oak, blueberry, animal hide and green herbs are strained. This feels raw and choppy, while reedy herbal red-fruit flavors finish with a note of raisin. This Monastrell (with 10% Syrah) is okay but all over the map.",Estate Wine Organic,84,18.0,Levante,Jumilla,Campos de Risca 2013 Estate Wine Organic Monastrell-Syrah (Jumilla),Monastrell-Syrah,Campos de Risca
Spain,"Lemon and apple aromas precede a high-acid citric palate without much elegance or finesse. This pedestrian Albariño deals pithy orange flavors that come with a note of grape skins. On the finish, this seems like orange juice.",Covello,84,16.0,Galicia,Rías Baixas,Lo Nuevo 2015 Covello Albariño (Rías Baixas),Albariño,Lo Nuevo
Spain,"If you are of the school that says rosé from Provence is the world's gold standard, then give this excellent newcomer a try. Brief skin contact has created a light color and sense of elegance on the nose and palate. Flavors of cantaloupe and peach are lightly sweet but cut by ample acidity. Drink as soon as possible to capture this wine's fresh essence.",Flor de Muga,90,31.0,Northern Spain,Rioja,Muga 2016 Flor de Muga Rosé (Rioja),Rosé,Muga
Spain,"This aerated, yellow-tinted brut nature smells mature, bready and buttery. The palate is full bodied, yeasty and anything but sweet. Salted citrus and papaya flavors are nutty and hold steady on a slightly flat finish. Drink now.",Glaç Brut Nature,90,31.0,Catalonia,Cava,Maria Casanovas NV Glaç Brut Nature Sparkling (Cava),Sparkling Blend,Maria Casanovas
Spain,"Aromas of tobacco, wood grain, plum and cherry set up a plucky, lively palate with hard tannins. Spicy plum and berry flavors finish steady and drawing. Drunk now through 2023.",Reserva,90,30.0,Northern Spain,Rioja,Eduardo Garrido García 2011 Reserva  (Rioja),Tempranillo Blend,Eduardo Garrido García
Spain,"Albariño is a fragile style of white wine and some just don't age well. This is one of those wines; it's slightly past peak maturity, as evidenced by wheaty, yeasty aromas. The palate finishes with a hint of bitter citrus pith.",,85,34.0,Galicia,Rías Baixas,Lusco 2011 Albariño (Rías Baixas),Albariño,Lusco
Spain,"After opening with reedy, stalky aromas, this is raw and choppy on the palate. Flavors of herbal red plum and rhubarb conclude with tight, edgy acids and a bit of burn and heat. This is fresh and generally pretty good, but it lacks Toro's usual richness and power.",Crianza,85,25.0,Northern Spain,Toro,Damalisco 2008 Crianza  (Toro),Tinta de Toro,Damalisco
